Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.66133814775094E-16,-1.0769163338864E-14,-0.0100000000000001,0,0,0,0.307410573676368,0.00180218659293748,-5.9244660704518E-18,-3.37763309342311E-20,0.00264075287927376,-3.09465764048452E-20,0.00442270513895884,0,0,0,0,0,0,package://dynamo_skltn/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/base_link.STL,,base2-2,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LF1,-0.018784210212979,-1.01030295240889E-14,-0.0143997700963781,0,0,0,0.0202816811678385,1.42596288638287E-06,8.08885241524575E-23,-1.77006138466586E-07,3.47408088989554E-06,-1.33359464788894E-22,3.35153539523793E-06,0,0,0,0,0,0,package://dynamo_skltn/meshes/LF1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/LF1.STL,,hipjnt-4,LF1,LFA1,LFJ1,revolute,0.1285,0.075,-0.01,1.5708,0,-1.5708,base_link,0,0,1,50,2,-1.57,1.57,,,,,,,,
LF2,0.0850000000000102,0,0.00999999999999998,0,0,0,0.144010087007031,1.52724036277132E-05,6.68463311186397E-21,-4.79574330687221E-20,0.000456019282253513,-3.80708743488964E-22,0.000461691013414091,0,0,0,0,0,0,package://dynamo_skltn/meshes/LF2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/LF2.STL,,l1-1,LF2,LFA2,LFJ2,revolute,-0.04,0,-0.015,1.5708,0,-1.5708,LF1,0,0,-1,50,2,-1.57,1.57,,,,,,,,
LF3,0.0850000000000101,0,0.00999999999999998,0,0,0,0.144010087007031,1.52724036277132E-05,6.96869005968292E-21,-2.34998390655045E-20,0.000456019282253513,-4.87410026043126E-22,0.00046169101341409,0,0,0,0,0,0,package://dynamo_skltn/meshes/LF3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/LF3.STL,,l1-2,LF3,LFA3,LFJ3,revolute,0.17,0,0.02,0,0,0,LF2,0,0,-1,50,1,-1.57,2.7,,,,,,,,
LB1,-0.0187842102129788,-9.99200722162641E-15,0.0143997700963782,0,0,0,0.0202816811678385,1.42596288638287E-06,-1.30959961592588E-22,1.77006138466586E-07,3.47408088989554E-06,-1.76560837638848E-23,3.35153539523793E-06,0,0,0,0,0,0,package://dynamo_skltn/meshes/LB1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/LB1.STL,,hipjnt-3,LB1,LBA1,LBJ1,revolute,-0.1285,0.075,-0.01,1.5708,0,-1.5708,base_link,0,0,-1,50,2,-1.57,1.57,,,,,,,,
LB2,0.0850000000000102,0,0.00999999999999995,0,0,0,0.144010087007031,1.52724036277132E-05,-1.74229305106629E-21,3.85187512524854E-21,0.000456019282253512,-2.61809605891918E-22,0.00046169101341409,0,0,0,0,0,0,package://dynamo_skltn/meshes/LB2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/LB2.STL,,l1-3,LB2,LBA2,LBJ2,revolute,-0.04,0,0.015,1.5707963267949,0,-1.5707963267949,LB1,0,0,1,50,2,-1.57,1.57,,,,,,,,
LB3,0.0850000000000102,1.38777878078145E-17,0.01,0,0,0,0.144010087007031,1.52724036277132E-05,-4.89227988199986E-21,-5.96947954866902E-21,0.000456019282253512,4.54227014519487E-23,0.00046169101341409,0,0,0,0,0,0,package://dynamo_skltn/meshes/LB3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/LB3.STL,,l1-4,LB3,LBA3,LBJ3,revolute,0.17,0,0.02,0,0,0,LB2,0,0,1,50,2,-1.57,2.7,,,,,,,,
RF1,-0.0187842102129793,1.11022302462516E-16,0.0143997700963782,0,0,0,0.0202816811678385,1.42596288638287E-06,3.59859445033248E-22,1.77006138466586E-07,3.47408088989553E-06,-1.48906330019362E-22,3.35153539523792E-06,0,0,0,0,0,0,package://dynamo_skltn/meshes/RF1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/RF1.STL,,hipjnt-2,RF1,RFA1,RFJ1,revolute,0.1285,-0.075,-0.01,1.5708,0,1.5708,base_link,0,0,-1,50,2,-1.57,1.57,,,,,,,,
RF2,0.085,0,0.01,0,0,0,0.144010087007031,1.52724036277132E-05,-1.10656038486338E-20,3.76166718240562E-20,0.000456019282253512,-1.17287133715646E-22,0.00046169101341409,0,0,0,0,0,0,package://dynamo_skltn/meshes/RF2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/RF2.STL,,l1-5,RF2,RFA2,RFJ2,revolute,-0.04,0,0.0149999999999998,1.5707963267949,0,-1.5707963267949,RF1,0,0,1,50,2,-1.57,1.57,,,,,,,,
RF3,0.085,5.55111512312578E-17,0.01,0,0,0,0.144010087007031,1.52724036277132E-05,-1.49048345626674E-19,4.58508014330682E-21,0.000456019282253513,-3.37763465288728E-22,0.000461691013414091,0,0,0,0,0,0,package://dynamo_skltn/meshes/RF3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/RF3.STL,,l1-6,RF3,RFA3,RFJ3,revolute,0.17,0,0.0200000000000002,0,0,0,RF2,0,0,1,50,2,-1.57,2.7,,,,,,,,
RB1,-0.018784210212979,0,-0.0143997700963782,0,0,0,0.0202816811678385,1.42596288638287E-06,4.46967372118645E-23,-1.77006138466586E-07,3.47408088989554E-06,-1.28185631777766E-22,3.35153539523793E-06,0,0,0,0,0,0,package://dynamo_skltn/meshes/RB1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/RB1.STL,,hipjnt-1,RB1,RBA1,RBJ1,revolute,-0.128500000000002,-0.074999999999994,-0.00999999999997347,1.5707963267949,0,1.5707963267949,base_link,0,0,1,50,2,-1.57,1.57,,,,,,,,
RB2,0.085,-6.93889390390723E-17,0.01,0,0,0,0.144010087007031,1.52724036277132E-05,-1.03552966848308E-19,3.14317062750219E-21,0.000456019282253513,-1.68012162689126E-22,0.000461691013414091,0,0,0,0,0,0,package://dynamo_skltn/meshes/RB2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/RB2.STL,,l1-7,RB2,RBA2,RBJ2,revolute,-0.04,0,-0.0149999999999999,1.5707963267949,0,-1.5707963267949,RB1,0,0,1,50,2,-1.57,1.57,,,,,,,,
RB3,0.085,0,0.0099999999999999,0,0,0,0.144010087007031,1.52724036277132E-05,2.49794660925494E-20,6.17015260641853E-20,0.000456019282253512,-5.50090825610768E-22,0.00046169101341409,0,0,0,0,0,0,package://dynamo_skltn/meshes/RB3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://dynamo_skltn/meshes/RB3.STL,,l1-8,RB3,RBA3,RBJ3,revolute,0.17,0,0.0200000000000002,0,0,0,RB2,0,0,1,50,2,-1.57,2.7,,,,,,,,
